Name,Latitude,Longitude,Description,Day
"Over Bækken 2, 9000 Aalborg",57.025898,9.921586,DEPOT,0
"Fabriciusvej 24, 9210 Aalborg SØ",57.022105,9.927512,CONTAINER,0
"Gertrud Rasks Vej 43, 9210 Aalborg SØ",57.023177,9.929207,CONTAINER,0
"Gertrud Rasks Vej 74, 9210 Aalborg SØ",57.022355,9.929265,CONTAINER,0
"Gertrud Rasks Vej 83, 9210 Aalborg SØ",57.022927,9.930223,CONTAINER,0
"Gertrud Rasks Vej 124, 9210 Aalborg SØ",57.021758,9.930458,CONTAINER,0
"Gertrud Rasks Vej 28, 9210 Aalborg SØ",57.022283,9.928484,CONTAINER,0
"Gertrud Rasks Vej 3, 9210 Aalborg SØ",57.023373,9.928165,CONTAINER,0
"Mylius Erichsens Vej 67, 9210 Aalborg SØ",57.021867,9.937055,CONTAINER,0
"Carl Rothes Vej 76, 9210 Aalborg SØ",57.020367,9.935955,CONTAINER,0
"Mylius Erichsens Vej 123, 9210 Aalborg SØ",57.020009,9.944141,CONTAINER,0
"Umanakvej 28, 9210 Aalborg SØ",57.020548,9.942014,CONTAINER,0
"Ivigtutvej 10, 9210 Aalborg SØ",57.02093,9.940432,CONTAINER,0
"Kollegievej 2 C, 9000 Aalborg",57.024736,9.943258,CONTAINER,0
"Lønneparken 11, 9000 Aalborg",57.026537,9.946372,CONTAINER,0
"Lønneparken 4, 9000 Aalborg",57.027336,9.946189,CONTAINER,0
"Lønneparken 7, 9000 Aalborg",57.026697,9.947192,CONTAINER,0
"Egeparken 3, 9000 Aalborg",57.028089,9.947191,CONTAINER,0
"Egeparken 8, 9000 Aalborg",57.02727,9.94722,CONTAINER,0
"Egeparken 4, 9000 Aalborg",57.027931,9.946513,CONTAINER,0
"Lønneparken 10, 9000 Aalborg",57.027015,9.945341,CONTAINER,0
"Borgmester Jørgensens Vej 5, 9000 Aalborg",57.030922,9.945721,CONTAINER,0
"Borgmester Jørgensens Vej 2, 9000 Aalborg",57.030466,9.945028,CONTAINER,0
"Rughaven 59, 9000 Aalborg",57.03357,9.943521,CONTAINER,0
"Rughaven 47, 9000 Aalborg",57.033649,9.944711,CONTAINER,0
"Bygholmen 14 B, 9000 Aalborg",57.034761,9.945838,CONTAINER,0
"Rughaven 35, 9000 Aalborg",57.03373,9.945956,CONTAINER,0
"Bygholmen 24, 9000 Aalborg",57.034063,9.946443,CONTAINER,0
"Rughaven 23, 9000 Aalborg",57.033815,9.947225,CONTAINER,0
"Rughaven 9, 9000 Aalborg",57.0339,9.948498,CONTAINER,0
"Rughaven 3 A, 9000 Aalborg",57.033569,9.949529,CONTAINER,0
"Jyttevej 74, 9000 Aalborg",57.037447,9.957539,CONTAINER,0
"Liselund 35, 9000 Aalborg",57.037158,9.958612,CONTAINER,0
"Liselund 47, 9000 Aalborg",57.037585,9.959099,CONTAINER,0
"Liselund 9, 9000 Aalborg",57.036179,9.958405,CONTAINER,0
"Filstedvej 59, 9000 Aalborg",57.035923,9.960571,CONTAINER,0
"Filstedvej 123, 9000 Aalborg",57.035337,9.963508,CONTAINER,0
"Filstedvej 91, 9000 Aalborg",57.035563,9.961928,CONTAINER,0
"Jyttevej 2 A, 9000 Aalborg",57.035825,9.956635,CONTAINER,0
"Heimdalsgade 41 A, 9000 Aalborg",57.037864,9.95439,CONTAINER,0
"Lundsgårdsgade 26 A, 9000 Aalborg",57.038525,9.956748,CONTAINER,0
"Hadsundvej 86 F, 9000 Aalborg",57.036271,9.952907,CONTAINER,0
"Hadsundvej 86 C, 9000 Aalborg",57.036693,9.952476,CONTAINER,0
"Riishøjsvej 6, 9000 Aalborg",57.036481,9.951832,CONTAINER,0
"Doravej 3, 9000 Aalborg",57.03258,9.956069,CONTAINER,0
"Hørhaven 16, 9000 Aalborg",57.032245,9.950606,CONTAINER,0
"Hørhaven 6, 9000 Aalborg",57.032814,9.950083,CONTAINER,0
"Hørhaven 1, 9000 Aalborg",57.03208,9.95119,CONTAINER,0
"Hørhaven 38, 9000 Aalborg",57.031235,9.951415,CONTAINER,0
"Blegkilde Alle 2 L, 9000 Aalborg",57.030612,9.941619,CONTAINER,0
"Blegkilde Alle 6, 9000 Aalborg",57.031014,9.942383,CONTAINER,0
"Blegkilde Alle 8 F, 9000 Aalborg",57.031821,9.942154,CONTAINER,0
"Blegkilde Alle 14, 9000 Aalborg",57.031219,9.941184,CONTAINER,0
"Blegkilde Alle 39, 9000 Aalborg",57.030478,9.940027,CONTAINER,0
"Blegkilde Alle 85, 9000 Aalborg",57.029445,9.937319,CONTAINER,0
"Blegkilde Alle 59, 9000 Aalborg",57.030118,9.938123,CONTAINER,0
"Danalien 13, 9000 Aalborg",57.029323,9.940387,CONTAINER,0
"Danalien 1, 9000 Aalborg",57.028715,9.943507,CONTAINER,0
"Magisterparken 37, 9000 Aalborg",57.026971,9.942659,CONTAINER,0
"Magisterparken 10, 9000 Aalborg",57.027695,9.943564,CONTAINER,0
"Magisterparken 24, 9000 Aalborg",57.028134,9.941101,CONTAINER,0
"Magisterparken 421, 9000 Aalborg",57.027543,9.939849,CONTAINER,0
"Diskovej 102, 9210 Aalborg SØ",57.021883,9.948126,CONTAINER,0
"Diskovej 154, 9210 Aalborg SØ",57.021093,9.950157,CONTAINER,0
"Diskovej 38, 9210 Aalborg SØ",57.022398,9.946472,CONTAINER,0
"Grønlands Torv 5, 9210 Aalborg SØ",57.022807,9.943188,CONTAINER,0
"Grønlands Torv 9, 9210 Aalborg SØ",57.022561,9.943412,CONTAINER,0
"Grønlands Torv 17, 9210 Aalborg SØ",57.022275,9.943585,CONTAINER,0
"Umanakvej 19, 9210 Aalborg SØ",57.021491,9.943735,CONTAINER,0
"Umanakvej 7, 9210 Aalborg SØ",57.02147,9.942556,CONTAINER,0
"Umanakvej 20, 9210 Aalborg SØ",57.021157,9.941768,CONTAINER,0
