Name,Latitude,Longitude,Description,Day
"Over Bækken 2, 9000 Aalborg",57.025898,9.921586,DEPOT,0
"Lindenborgvej 43, 9200 Aalborg SV",57.015898,9.889557,CONTAINER,0
"Lindenborgvej 53, 9200 Aalborg SV",57.016727,9.890037,CONTAINER,0
"Lindenborgvej 77, 9200 Aalborg SV",57.015827,9.891608,CONTAINER,0
"Lindenborgvej 89, 9200 Aalborg SV",57.015428,9.890042,CONTAINER,0
"Karen Blixens Vej 15, 9200 Aalborg SV",57.014687,9.889807,CONTAINER,0
"Karen Blixens Vej 21, 9200 Aalborg SV",57.014533,9.890702,CONTAINER,0
"Digtervejen 11 A, 9200 Aalborg SV",57.014131,9.888529,CONTAINER,0
"Stationsmestervej 23, 9200 Aalborg SV",57.008745,9.890832,CONTAINER,0
"Stationsmestervej 76, 9200 Aalborg SV",57.007807,9.891044,CONTAINER,0
"Stationsmestervej 24, 9200 Aalborg SV",57.008939,9.889042,CONTAINER,0
"Dyrskuevej 19, 9200 Aalborg SV",57.007913,9.88728,CONTAINER,0
"Dyrskuevej 33 C, 9200 Aalborg SV",57.00691,9.887769,CONTAINER,0
"Sløjfen 2, 9200 Aalborg SV",57.006342,9.88936,CONTAINER,0
"Dyrskuevej 51, 9200 Aalborg SV",57.005996,9.890977,CONTAINER,0
"Hobrovej 412, 9200 Aalborg SV",57.00717,9.883353,CONTAINER,0
"Holger Drachmanns Vej 1, 9200 Aalborg SV",57.007348,9.880894,CONTAINER,0
"Gartnervej 42 A, 9200 Aalborg SV",57.000627,9.877473,CONTAINER,0
"Gartnervej 68 A, 9200 Aalborg SV",57.000139,9.878212,CONTAINER,0
"Gartnervej 156, 9200 Aalborg SV",57.000178,9.880677,CONTAINER,0
"Gartnervej 190, 9200 Aalborg SV",57.000852,9.879102,CONTAINER,0
"Egemarksvej 2, 9230 Svenstrup J",56.972911,9.850458,CONTAINER,0
"Egemarksvej 2, 9230 Svenstrup J",56.972911,9.850458,CONTAINER,0
"Hellekisten 195, 9230 Svenstrup J",56.973287,9.831456,CONTAINER,0
"Hellekisten 157, 9230 Svenstrup J",56.974023,9.832014,CONTAINER,0
"Hellekisten 15, 9230 Svenstrup J",56.974009,9.833994,CONTAINER,0
"Jættestuen 4, 9230 Svenstrup J",56.973926,9.835404,CONTAINER,0
"Jættestuen 48, 9230 Svenstrup J",56.972845,9.835642,CONTAINER,0
"Bautastenen 1, 9230 Svenstrup J",56.971773,9.834948,CONTAINER,0
"Valhal 60, 9230 Svenstrup J",56.96952,9.831368,CONTAINER,0
"Runddyssen 50, 9230 Svenstrup J",56.969156,9.835346,CONTAINER,0
"Runddyssen 206, 9230 Svenstrup J",56.967988,9.838698,CONTAINER,0
"Runddyssen 356, 9230 Svenstrup J",56.967479,9.840423,CONTAINER,0
"Runddyssen 249, 9230 Svenstrup J",56.969063,9.840027,CONTAINER,0
"Runddyssen 99, 9230 Svenstrup J",56.96969,9.838033,CONTAINER,0
"Runddyssen 77, 9230 Svenstrup J",56.970186,9.836977,CONTAINER,0
"Danagården 113, 9230 Svenstrup J",56.967311,9.822346,CONTAINER,0
"Danagården 57, 9230 Svenstrup J",56.967101,9.820291,CONTAINER,0
"Danagården 72, 9230 Svenstrup J",56.966714,9.823756,CONTAINER,0
"Danagården 12, 9230 Svenstrup J",56.966045,9.824202,CONTAINER,0
"Lundevej 121, 9240 Nibe",56.972555,9.652491,CONTAINER,0
"Sygehusvej 14, 9240 Nibe",56.979366,9.632977,CONTAINER,0
"Klosterholmsgade 29, 9240 Nibe",56.981334,9.631236,CONTAINER,0
"Peder Kolds Vej 32, 9240 Nibe",56.981665,9.631764,CONTAINER,0
"Lindenborgvej 65, 9200 Aalborg SV",57.016659,9.891483,CONTAINER,0
"Over Bækken 2, 9000 Aalborg",57.025898,9.921586,DEPOT,1
"Blegkilde Alle 85, 9000 Aalborg",57.029445,9.937319,CONTAINER,1
"Blegkilde Alle 59, 9000 Aalborg",57.030118,9.938123,CONTAINER,1
"Venøsundvej 1, 9220 Aalborg Øst",57.021616,9.9897,CONTAINER,1
"Oddesundvej 25, 9220 Aalborg Øst",57.023826,9.994424,CONTAINER,1
"Oddesundvej 74, 9220 Aalborg Øst",57.02346,9.993714,CONTAINER,1
"Oddesundvej 13, 9220 Aalborg Øst",57.023076,9.992054,CONTAINER,1
